DWI_original_firstorder_10Percentile
DWI_original_firstorder_90Percentile
DWI_original_firstorder_Energy
DWI_original_firstorder_Entropy
DWI_original_firstorder_InterquartileRange
DWI_original_firstorder_Kurtosis
DWI_original_firstorder_Maximum
DWI_original_firstorder_MeanAbsoluteDeviation
DWI_original_firstorder_Mean
DWI_original_firstorder_Median
DWI_original_firstorder_Minimum
DWI_original_firstorder_Range
DWI_original_firstorder_RobustMeanAbsoluteDeviation
DWI_original_firstorder_RootMeanSquared
DWI_original_firstorder_Skewness
DWI_original_firstorder_TotalEnergy
DWI_original_firstorder_Uniformity
DWI_original_firstorder_Variance
DWI_original_glcm_Autocorrelation
DWI_original_glcm_ClusterProminence
DWI_original_glcm_ClusterShade
DWI_original_glcm_ClusterTendency
DWI_original_glcm_Contrast
DWI_original_glcm_Correlation
DWI_original_glcm_DifferenceAverage
DWI_original_glcm_DifferenceEntropy
DWI_original_glcm_DifferenceVariance
DWI_original_glcm_Id
DWI_original_glcm_Idm
DWI_original_glcm_Idmn
DWI_original_glcm_Idn
DWI_original_glcm_Imc1
DWI_original_glcm_Imc2
DWI_original_glcm_InverseVariance
DWI_original_glcm_JointAverage
DWI_original_glcm_JointEnergy
DWI_original_glcm_JointEntropy
DWI_original_glcm_MCC
DWI_original_glcm_MaximumProbability
DWI_original_glcm_SumAverage
DWI_original_glcm_SumEntropy
DWI_original_glcm_SumSquares
DWI_original_glrlm_GrayLevelNonUniformity
DWI_original_glrlm_GrayLevelNonUniformityNormalized
DWI_original_glrlm_GrayLevelVariance
DWI_original_glrlm_HighGrayLevelRunEmphasis
DWI_original_glrlm_LongRunEmphasis
DWI_original_glrlm_LongRunHighGrayLevelEmphasis
DWI_original_glrlm_LongRunLowGrayLevelEmphasis
DWI_original_glrlm_LowGrayLevelRunEmphasis
DWI_original_glrlm_RunEntropy
DWI_original_glrlm_RunLengthNonUniformity
DWI_original_glrlm_RunLengthNonUniformityNormalized
DWI_original_glrlm_RunPercentage
DWI_original_glrlm_RunVariance
DWI_original_glrlm_ShortRunEmphasis
DWI_original_glrlm_ShortRunHighGrayLevelEmphasis
DWI_original_glrlm_ShortRunLowGrayLevelEmphasis
DWI_original_glszm_GrayLevelNonUniformity
DWI_original_glszm_GrayLevelNonUniformityNormalized
DWI_original_glszm_GrayLevelVariance
DWI_original_glszm_HighGrayLevelZoneEmphasis
DWI_original_glszm_LargeAreaEmphasis
DWI_original_glszm_LargeAreaHighGrayLevelEmphasis
